time,P_import,P_export,P_bat_ch,P_bat_dis,SOC (%)
2024-01-02 18:30:00,0.0,0.0,0.0,169.0,72.71052631578948
2024-01-02 19:00:00,0.0,0.0,0.0,154.6,68.6421052631579
2024-01-02 19:30:00,0.0,0.0,0.0,199.4,63.39473684210527
2024-01-02 20:00:00,0.0,0.0,10.10273,0.0,63.63467667960527
2024-01-02 20:30:00,0.0,0.0,10.10273,0.0,63.874616517105274
2024-01-02 21:00:00,0.0,0.0,0.0,172.0,59.34830072763159
2024-01-02 21:30:00,0.0,0.0,0.0,165.8,54.985142832894745
2024-01-02 22:00:00,0.0,0.0,0.0,137.2,51.374616517105274
2024-01-02 22:30:00,0.0,0.0,0.0,161.6,47.12198493815791
2024-01-02 23:00:00,0.0,0.0,0.0,139.4,43.45356388552633
2024-01-02 23:30:00,0.0,0.0,0.0,173.0,38.90093230657896
2024-01-03 00:00:00,0.0,0.0,0.0,115.2,35.869353359210535
2024-01-03 00:30:00,0.0,0.0,0.0,86.59999,33.59040625394738
2024-01-03 01:00:00,0.0,0.0,0.0,35.59999,32.65356441184211
2024-01-03 01:30:00,0.0,0.0,0.0,54.4,31.22198546447369
2024-01-03 02:00:00,0.0,0.0,0.0,57.0,29.72198546447369
2024-01-03 02:30:00,0.0,0.0,0.0,42.0,28.616722306578954
2024-01-03 03:00:00,0.0,0.0,31.25952,0.0,29.359135906578953
2024-01-03 03:30:00,0.0,0.0,31.25952,0.0,30.10154950657895
2024-01-03 04:00:00,0.0,0.0,78.27894,0.0,31.96067433157895
2024-01-03 04:30:00,0.0,0.0,78.27894,0.0,33.81979915657895
2024-01-03 05:00:00,0.0,0.0,145.573,0.0,37.27715790657895
2024-01-03 05:30:00,0.0,0.0,145.573,0.0,40.73451665657895
2024-01-03 06:00:00,0.0,0.0,1.946341,0.0,40.780742255328946
2024-01-03 06:30:00,0.0,0.0,1.946341,0.0,40.826967854078944
2024-01-03 07:00:00,0.0,0.0,38.23762,0.0,41.73511132907895
2024-01-03 07:30:00,0.0,0.0,38.23762,0.0,42.64325480407895
2024-01-03 08:00:00,0.0,0.0,210.25445,0.0,47.63679799157895
2024-01-03 08:30:00,0.0,0.0,210.25445,0.0,52.630341179078954
2024-01-03 09:00:00,0.0,0.0,486.2134,0.0,64.17790942907895
